Models,Engine Size,Fuel,Engine Code,Years,
Ford Focus Mark 2,1.6 litre,Diesel,"G8DA, G8DB, G8DC, G8DD, G8DE, G8DF, GPDA, GPDC, HHDA, HHDB, MTDA",2003 - 2012,
Ford Focus Mark 2,1.6 litre,Petrol,"HWDA, HWDB, HXDA, HXDB, SHDA, SHDB, SHDC, SIDA",2003 - 2012,
Ford Focus Mark 2,2.5 litre,Petrol,"HWDA, HWDB, HXDA, HXDB, SHDA, SHDB, SHDC, SIDA, HYDA",2005 - 2012,
Ford Focus Mark 2,1.4 litre,Petrol,"ASDA, ASDB",2004 - 2012,
Ford Focus Mark 2,2.5 litre,Petrol,"ASDA, ASDB, JZDA",2009 - 2011,
Ford Focus Mark 3,1.0 litre,Petrol,"M1DA, M2DA",2012 - 2019,
Ford Focus Mark 3,2.0 litre,Diesel,"TXDB, TYDA, UFDB, UKDB",2010 - 2019,
Ford Focus Mark 3,1.5 litre,Petrol,"M8DA, M8DB, M9DA, M9DB",2014 - 2019,
Ford Focus Mark 3,1.6 litre,Diesel,"NGDA, T1DA, T1DB, T3DA, T3DB",2010 - 2019,
Ford Focus Mark 3,1.6 litre,Petrol/Alcohol/Gas,"NGDA, T1DA, T1DB, T3DA, T3DB, MUDA",2010 - 2019,
Ford Focus Mark 3,litre,Petrol/Natural Gas (LNG),"NGDA, T1DA, T1DB, T3DA, T3DB, MUDA, KDDA",2013 - 2017,
Ford Focus Mark 3,2.3 litre,Petrol,"NGDA, T1DA, T1DB, T3DA, T3DB, MUDA, KDDA, YVDA",2015 - Current,
Ford Focus Mark 3,1.5 litre,Diesel,"XWDA, XWDB, XWDC, XWDD, XXDA, XXDB, XXDC",2014 - 2019,
Ford Focus Mark 3 Saloon,1.6 litre,Diesel,"NGDA, NGDB",2012 - Current,
Ford Focus Mark 3,2.0 litre,Petrol,"MGDA, R9DA, XQDA",2010 - 2017,
Ford Focus Mark 3,1.6 litre,Petrol,"IQDB, JQDA, JQDB, JTDA, JTDB, PNDA, XTDA",2010 - 2019,
Ford Focus Mark 3 Van Body / Hatchback,1.6 litre,Diesel,"T1DA, T1DB",2010 - 2019,
